feature,importance,feat_type
Rinsole:Gyr_Z__perm_entropy__trial_median,0.0018052146718883916,entropy
Linsole:Acc_Y__spectral_entropy__trial_max,0.0017861407239141472,frequency
Linsole:Gyr_X__mean__trial_median,0.0017810930382619354,spatiotemporal
Linsole:Acc_Z__spectral_centroid__trial_median,0.001767402733366483,frequency
Rinsole:Acc_X__mean__trial_min,0.0017645612504593822,spatiotemporal
Linsole:Gyr_X__min__trial_std,0.0017609672762995121,spatiotemporal
Linsole:Acc_X__max__trial_min,0.001745005913887046,spatiotemporal
Linsole:Acc_Y__perm_entropy__trial_mean,0.0017397003863219393,entropy
Rinsole:Gyr_Y__max__trial_min,0.0017389815471865744,spatiotemporal
Rinsole:Gyr_Z__mean__trial_median,0.0017310487231675911,spatiotemporal
Rinsole:Acc_Mag__min__trial_median,0.0017308756474336544,spatiotemporal
Rinsole:Gyr_Z__energy__trial_min,0.0017296856278720741,spatiotemporal
Rinsole:Gyr_X__max__trial_median,0.0017104001808183145,spatiotemporal
Linsole:Acc_Z__std__trial_min,0.001704443983472385,spatiotemporal
Linsole:Gyr_Z__cv__trial_median,0.001704270726848178,spatiotemporal
Rinsole:Gyr_Z__spectral_centroid__trial_std,0.001691265259020888,frequency
Rinsole:Gyr_X__mean__trial_min,0.0016856704662962995,spatiotemporal
Linsole:Acc_Z__mcr__trial_std,0.0016807561436032103,spatiotemporal
Rinsole:Acc_Z__spectral_entropy__trial_max,0.0016793912969113476,frequency
Linsole:Gyr_Z__spectral_centroid__trial_mean,0.0016728370864872283,frequency
Rinsole:Acc_X__cv__trial_max,0.0016699500153066777,spatiotemporal
Linsole:Acc_Mag__energy__trial_min,0.0016667619426526273,spatiotemporal
Linsole:Acc_Y__mean__trial_median,0.0016523221396018022,spatiotemporal
Linsole:Gyr_Z__perm_entropy__trial_std,0.0016492097142308904,entropy
Linsole:Acc_Z__spectral_centroid__trial_std,0.0016480659287080755,frequency
Linsole:Acc_X__min__trial_max,0.0016473001860082468,spatiotemporal
Rinsole:Acc_X__mcr__trial_mean,0.0016402414259545745,spatiotemporal
Linsole:Gyr_Y__total_power__trial_min,0.0016385069845123298,frequency
Linsole:Gyr_X__cv__trial_min,0.0016337963983399225,spatiotemporal
Linsole:Gyr_Y__mean__trial_median,0.0016305590014917021,spatiotemporal
Rinsole:Acc_Mag__mcr__trial_max,0.0016294425983205873,spatiotemporal
Rinsole:Gyr_Y__perm_entropy__trial_std,0.0016266345284433076,entropy
Rinsole:Gyr_Y__perm_entropy__trial_mean,0.0016263412958228134,entropy
Linsole:Gyr_Y__skewness__trial_median,0.0016042919834263216,spatiotemporal
Linsole:Gyr_Z__spectral_centroid__trial_median,0.0015887142425416595,frequency
Rinsole:Acc_Y__psd_harmonic__trial_min,0.001588614414282225,frequency
Rinsole:Gyr_Z__mcr__trial_std,0.0015882216882369931,spatiotemporal
Rinsole:Gyr_Z__perm_entropy__trial_std,0.0015753347130495294,entropy
Rinsole:Acc_Z__spectral_entropy__trial_median,0.0015666940561317412,frequency
Linsole:Gyr_X__range__trial_min,0.0015525169964083377,spatiotemporal
Rinsole:Gyr_X__max__trial_std,0.001549234529966459,spatiotemporal
Linsole:Gyr_Z__spectral_centroid__trial_min,0.0015477822137492032,frequency
Rinsole:Acc_X__mcr__trial_max,0.0015367324801146285,spatiotemporal
Linsole:Acc_Z__min__trial_max,0.001529094733356946,spatiotemporal
Rinsole:Gyr_X__spectral_entropy__trial_min,0.0015268607990205085,frequency
Linsole:Gyr_X__mcr__trial_mean,0.001520276630756227,spatiotemporal
Rinsole:Acc_Z__min__trial_min,0.001514979678026264,spatiotemporal
Linsole:Acc_X__mcr__trial_std,0.0015147722465431305,spatiotemporal
Linsole:Gyr_Z__energy__trial_min,0.0015136944936427678,spatiotemporal
Linsole:Gyr_Z__energy__trial_median,0.0015112068709020711,spatiotemporal
Rinsole:Acc_Z__perm_entropy__trial_std,0.001503802230090938,entropy
Rinsole:Gyr_Z__spectral_centroid__trial_median,0.0015009193365949486,frequency
Linsole:Gyr_Z__mcr__trial_min,0.0014978222508438663,spatiotemporal
Linsole:Acc_X__perm_entropy__trial_std,0.0014960406760793573,entropy
Rinsole:Acc_Y__perm_entropy__trial_min,0.0014943714190656882,entropy
Rinsole:Acc_Z__spectral_centroid__trial_std,0.001482441672544411,frequency
Linsole:Gyr_Y__max__trial_min,0.0014744721292906722,spatiotemporal
Rinsole:Gyr_Z__max__trial_max,0.0014612801094139461,spatiotemporal
Linsole:Gyr_Z__zcr__trial_max,0.0014612148986970588,spatiotemporal
Linsole:Acc_Y__spectral_centroid__trial_max,0.0014598280508067373,frequency
Linsole:Gyr_Mag__perm_entropy__trial_max,0.0014499051436850099,entropy
Linsole:Gyr_X__range__trial_median,0.0014485069755055667,spatiotemporal
Rinsole:Acc_Z__skewness__trial_min,0.0014464279349244013,spatiotemporal
Rinsole:Acc_Z__spectral_centroid__trial_max,0.0014299638278565806,frequency
Rinsole:Gyr_Mag__rms__trial_min,0.00142933758056439,spatiotemporal
Rinsole:Gyr_Mag__std__trial_min,0.0014226758468468617,spatiotemporal
Rinsole:Acc_X__min__trial_max,0.0014198182440121909,spatiotemporal
Rinsole:Gyr_Z__mean__trial_max,0.0014193884691855274,spatiotemporal
Linsole:Gyr_Y__mean__trial_std,0.0014160224431490418,spatiotemporal
Linsole:Acc_Mag__spectral_centroid__trial_median,0.0014142458891402527,frequency
Linsole:Acc_Y__psd_highfreq__trial_min,0.0014141914114983696,frequency
Linsole:Acc_X__kurtosis__trial_min,0.0014134729200671096,spatiotemporal
Rinsole:Gyr_Z__skewness__trial_mean,0.00140562520851913,spatiotemporal
Rinsole:Acc_X__std__trial_min,0.0014044412004647975,spatiotemporal
Linsole:Acc_Mag__spectral_centroid__trial_max,0.001404362152633058,frequency
Linsole:Acc_Y__spectral_centroid__trial_std,0.001403969386704898,frequency
Linsole:Gyr_Z__perm_entropy__trial_mean,0.0013978912446430325,entropy
Linsole:Gyr_X__kurtosis__trial_mean,0.0013948389388145663,spatiotemporal
Linsole:Gyr_Y__perm_entropy__trial_mean,0.0013939935877554715,entropy
Linsole:Gyr_Y__spectral_entropy__trial_mean,0.0013894517648117527,frequency
Linsole:Gyr_Y__mean__trial_min,0.0013870176973809014,spatiotemporal
Linsole:Acc_Mag__spectral_centroid__trial_min,0.001385402206773756,frequency
Linsole:Acc_Z__energy__trial_min,0.0013773903247521885,spatiotemporal
Linsole:Gyr_Z__mean__trial_median,0.0013674209321017806,spatiotemporal
Rinsole:Acc_X__spectral_centroid__trial_mean,0.0013597901606426615,frequency
Rinsole:Acc_Mag__perm_entropy__trial_std,0.001359740050191029,entropy
Rinsole:Gyr_Y__min__trial_max,0.00135670827466947,spatiotemporal
Rinsole:Gyr_X__spectral_entropy__trial_mean,0.0013490608977206615,frequency
Rinsole:Acc_Mag__dominant_freq__trial_max,0.001330918039742215,frequency
Linsole:Acc_X__energy__trial_min,0.0013284495517052839,spatiotemporal
Linsole:Gyr_Y__min__trial_max,0.0013210438251905674,spatiotemporal
Linsole:Gyr_Z__spectral_entropy__trial_std,0.0013191104625136071,frequency
Rinsole:Acc_Z__min__trial_median,0.0013189279882959571,spatiotemporal
Linsole:Gyr_Z__max__trial_mean,0.0013134092252826187,spatiotemporal
Linsole:Gyr_Z__max__trial_max,0.0012976132450532546,spatiotemporal
Rinsole:Gyr_Z__std__trial_median,0.0012966412874454384,spatiotemporal
Rinsole:Acc_Y__cv__trial_mean,0.0012944124693390435,spatiotemporal
Linsole:Gyr_X__zcr__trial_std,0.0012942635592507932,spatiotemporal
Rinsole:Acc_Z__spectral_centroid__trial_median,0.0012898856494544463,frequency
Rinsole:Acc_Y__total_power__trial_min,0.001289043326830509,frequency
Linsole:Acc_Mag__perm_entropy__trial_std,0.0012836080850834818,entropy
Linsole:Gyr_X__dominant_freq__trial_std,0.0012775586737642664,frequency
Rinsole:Gyr_Z__min__trial_max,0.0012720618161245296,spatiotemporal
Rinsole:Acc_Y__mcr__trial_max,0.0012682984112221615,spatiotemporal
Linsole:Gyr_Z__dominant_freq__trial_mean,0.0012645754792656332,frequency
Linsole:Gyr_Y__spectral_centroid__trial_min,0.0012620066064688437,frequency
Rinsole:Gyr_X__spectral_entropy__trial_median,0.0012611515985712237,frequency
Linsole:Gyr_X__mean__trial_max,0.0012585978604957102,spatiotemporal
Rinsole:Acc_Y__min__trial_min,0.0012537267294094644,spatiotemporal
Rinsole:Acc_X__range__trial_min,0.0012504817171795682,spatiotemporal
Rinsole:Acc_X__spectral_centroid__trial_median,0.0012437700287546993,frequency
Rinsole:Gyr_Y__dominant_freq__trial_std,0.0012408878082152657,frequency
Linsole:Gyr_Mag__rms__trial_min,0.0012355635513139015,spatiotemporal
Rinsole:Gyr_X__mcr__trial_mean,0.001229530343462653,spatiotemporal
Rinsole:Acc_Mag__mcr__trial_median,0.0012260652587090517,spatiotemporal
Linsole:Gyr_Y__perm_entropy__trial_median,0.0012259286150483651,entropy
Rinsole:Acc_Y__total_power__trial_std,0.0012243645073228581,frequency
Linsole:Acc_Mag__mcr__trial_std,0.0012209243454716554,spatiotemporal
Rinsole:Acc_Y__zcr__trial_max,0.0012203208101969577,spatiotemporal
Linsole:Acc_X__spectral_centroid__trial_mean,0.0012120540060877225,frequency
Rinsole:Gyr_X__skewness__trial_min,0.0012062854208667597,spatiotemporal
Rinsole:Gyr_Mag__spectral_entropy__trial_median,0.0012032389987830228,frequency
Rinsole:Acc_Mag__spectral_centroid__trial_std,0.0012000124578273326,frequency
Linsole:Gyr_X__skewness__trial_mean,0.0011998362100525848,spatiotemporal
Linsole:Acc_Z__perm_entropy__trial_mean,0.0011996499250752865,entropy
Linsole:Acc_X__skewness__trial_max,0.0011964847305541441,spatiotemporal
Rinsole:Acc_X__cv__trial_median,0.001189683123355182,spatiotemporal
Linsole:Gyr_X__energy__trial_median,0.0011844947626043496,spatiotemporal
Linsole:Gyr_Z__skewness__trial_max,0.0011844805517098487,spatiotemporal
Linsole:Acc_Z__spectral_entropy__trial_max,0.001178940816403423,frequency
Linsole:Acc_Z__rms__trial_min,0.0011700268322154795,spatiotemporal
Linsole:Gyr_Mag__max__trial_min,0.00116695963364151,spatiotemporal
Rinsole:Gyr_Mag__min__trial_max,0.001164740015271014,spatiotemporal
Linsole:Acc_Mag__min__trial_max,0.001164456507969819,spatiotemporal
Linsole:Acc_Z__cv__trial_min,0.0011613636761358254,spatiotemporal
Rinsole:Gyr_Y__spectral_entropy__trial_std,0.0011599649086126036,frequency
Rinsole:Acc_Mag__spectral_entropy__trial_std,0.0011585818315218964,frequency
Linsole:Gyr_X__energy__trial_min,0.0011579242721550618,spatiotemporal
Linsole:Acc_Z__spectral_centroid__trial_mean,0.0011561805051703946,frequency
Linsole:Gyr_Y__std__trial_min,0.0011534539017465824,spatiotemporal
Rinsole:Acc_Z__perm_entropy__trial_max,0.0011524425688437462,entropy
Linsole:Acc_Y__kurtosis__trial_median,0.0011518946251515188,spatiotemporal
Rinsole:Gyr_Z__spectral_entropy__trial_median,0.0011484251338316955,frequency
Rinsole:Gyr_Y__psd_highfreq__trial_max,0.001145920524069842,frequency
Rinsole:Acc_X__skewness__trial_mean,0.001145019495599706,spatiotemporal
Linsole:Acc_Y__spectral_entropy__trial_min,0.0011412773891554778,frequency
Rinsole:Acc_Y__perm_entropy__trial_std,0.001132341679483503,entropy
Linsole:Acc_Mag__cv__trial_max,0.0011321991364437803,spatiotemporal
Linsole:Gyr_X__psd_harmonic__trial_max,0.0011307115934615184,frequency
Linsole:Acc_Mag__spectral_entropy__trial_std,0.0011253662880565556,frequency
Rinsole:Gyr_X__kurtosis__trial_std,0.001123687003320126,spatiotemporal
Rinsole:Acc_Y__range__trial_max,0.001119971104748473,spatiotemporal
Linsole:Gyr_Z__range__trial_median,0.0011178707717435072,spatiotemporal
Rinsole:Gyr_Y__spectral_entropy__trial_min,0.0011177032582559117,frequency
Rinsole:Gyr_Y__perm_entropy__trial_max,0.0011162011936912645,entropy
Rinsole:Gyr_Mag__kurtosis__trial_min,0.0011042676337055,spatiotemporal
Linsole:Acc_Y__perm_entropy__trial_median,0.0011021784908025046,entropy
Linsole:Acc_Y__cv__trial_median,0.0011017285138549392,spatiotemporal
Linsole:Gyr_X__skewness__trial_min,0.0011015190080980119,spatiotemporal
Linsole:Gyr_X__spectral_entropy__trial_std,0.001101074728968854,frequency
Linsole:Acc_Mag__mcr__trial_max,0.0010969198961505546,spatiotemporal
Rinsole:Acc_Y__skewness__trial_max,0.0010967941437880035,spatiotemporal
Linsole:Gyr_Y__psd_highfreq__trial_max,0.0010928363487464393,frequency
Rinsole:Gyr_X__std__trial_median,0.0010880957680813774,spatiotemporal
Rinsole:Acc_Y__psd_harmonic__trial_max,0.0010864094726767048,frequency
Linsole:Acc_X__cv__trial_max,0.0010846472569263595,spatiotemporal
Linsole:Acc_X__cv__trial_std,0.001080309488275337,spatiotemporal
Rinsole:Gyr_Y__spectral_centroid__trial_median,0.001079853652177347,frequency
Linsole:Acc_Y__range__trial_max,0.0010783022776131856,spatiotemporal
Linsole:Gyr_X__spectral_centroid__trial_max,0.0010756207723918213,frequency
Linsole:Acc_Mag__min__trial_std,0.0010749124595299774,spatiotemporal
Rinsole:Acc_X__kurtosis__trial_max,0.0010735969975571589,spatiotemporal
Linsole:Acc_Z__min__trial_min,0.0010726392896057385,spatiotemporal
Rinsole:Gyr_Mag__total_power__trial_std,0.0010713893027725682,frequency
Rinsole:Gyr_X__skewness__trial_median,0.0010699974379349336,spatiotemporal
Rinsole:Gyr_Z__energy__trial_median,0.0010697707092165293,spatiotemporal
Rinsole:Acc_X__max__trial_mean,0.0010676709461021389,spatiotemporal
Linsole:Gyr_Z__spectral_entropy__trial_max,0.0010652363373491903,frequency
Rinsole:Acc_X__spectral_centroid__trial_std,0.0010610091265458,frequency
Rinsole:Gyr_Y__mean__trial_min,0.001060599015814614,spatiotemporal
Rinsole:Gyr_X__psd_highfreq__trial_max,0.0010593619808308668,frequency
Linsole:Gyr_Mag__perm_entropy__trial_min,0.0010583959158622198,entropy
Linsole:Gyr_Y__skewness__trial_std,0.0010552983310415378,spatiotemporal
Rinsole:Acc_Mag__spectral_entropy__trial_median,0.001055151589871708,frequency
Rinsole:Gyr_Mag__mcr__trial_max,0.0010544005139900368,spatiotemporal
Rinsole:Acc_Y__skewness__trial_min,0.0010502727043218679,spatiotemporal
Linsole:Acc_X__std__trial_std,0.0010501694542115487,spatiotemporal
Rinsole:Gyr_Y__mean__trial_mean,0.001047568740904168,spatiotemporal
Rinsole:Gyr_Mag__perm_entropy__trial_max,0.0010472917164320223,entropy
Linsole:Gyr_X__skewness__trial_std,0.0010464102510445005,spatiotemporal
Rinsole:Acc_Z__mcr__trial_std,0.0010392926205633412,spatiotemporal
Rinsole:Acc_X__psd_highfreq__trial_std,0.0010324540226554642,frequency
Linsole:Gyr_Z__rms__trial_std,0.0010304270883691722,spatiotemporal
Linsole:Acc_Y__rms__trial_median,0.0010287432056091804,spatiotemporal
Rinsole:Gyr_Z__spectral_entropy__trial_std,0.0010261363437488998,frequency
Rinsole:Gyr_Y__psd_harmonic__trial_min,0.0010260413067595445,frequency
Linsole:Gyr_Z__mean__trial_mean,0.0010183500447387658,spatiotemporal
Rinsole:Acc_Y__energy__trial_min,0.0010136146096318146,spatiotemporal
Rinsole:Acc_Y__min__trial_std,0.0010124226461745672,spatiotemporal
Rinsole:Gyr_X__psd_highfreq__trial_std,0.0010109829779319317,frequency
Rinsole:Acc_Z__min__trial_mean,0.0010108016984005516,spatiotemporal
Rinsole:Acc_Y__dominant_freq__trial_max,0.0010094233728883807,frequency
Linsole:Gyr_X__mcr__trial_std,0.0010044753916780376,spatiotemporal
Linsole:Gyr_Mag__std__trial_max,0.00100329387816945,spatiotemporal
Linsole:Gyr_Y__kurtosis__trial_min,0.000998623254724536,spatiotemporal
Linsole:Gyr_Z__cv__trial_mean,0.0009975881000221331,spatiotemporal
Rinsole:Gyr_X__rms__trial_mean,0.0009970933707860268,spatiotemporal
Linsole:Acc_Z__max__trial_min,0.000994514684479294,spatiotemporal
Rinsole:Acc_X__energy__trial_min,0.0009941013784418224,spatiotemporal
Rinsole:Gyr_X__zcr__trial_mean,0.0009937927490514488,spatiotemporal
Rinsole:Acc_Y__rms__trial_std,0.0009922030682087476,spatiotemporal
Linsole:Gyr_X__kurtosis__trial_median,0.0009920901464576363,spatiotemporal
Linsole:Gyr_X__mcr__trial_median,0.0009915595700555478,spatiotemporal
Linsole:Acc_Z__range__trial_max,0.000985815871716027,spatiotemporal
Rinsole:Gyr_Z__mcr__trial_max,0.0009813923293189935,spatiotemporal
Linsole:Gyr_Y__range__trial_min,0.0009796099656457274,spatiotemporal
Rinsole:Gyr_Z__range__trial_mean,0.0009733615363260173,spatiotemporal
Rinsole:Acc_Z__skewness__trial_median,0.0009711344248842313,spatiotemporal
Linsole:Acc_X__dominant_freq__trial_std,0.0009696531537661633,frequency
Rinsole:Acc_X__spectral_entropy__trial_min,0.0009682282662613637,frequency
Rinsole:Acc_Z__mcr__trial_mean,0.0009634376657432681,spatiotemporal
Rinsole:Gyr_Z__perm_entropy__trial_max,0.0009622974259691918,entropy
Rinsole:Gyr_Y__mean__trial_median,0.0009605842951388666,spatiotemporal
Linsole:Gyr_Z__rms__trial_max,0.0009600283019104629,spatiotemporal
Rinsole:Acc_Y__cv__trial_max,0.0009587428661744838,spatiotemporal
Rinsole:Acc_Z__mcr__trial_min,0.0009578019523011148,spatiotemporal
Linsole:Gyr_Mag__mean__trial_min,0.0009523585376425698,spatiotemporal
Linsole:Acc_Y__skewness__trial_mean,0.0009458154018168316,spatiotemporal
Rinsole:Gyr_Z__min__trial_std,0.0009452008099195878,spatiotemporal
Linsole:Acc_Y__cv__trial_mean,0.0009450198312220504,spatiotemporal
Rinsole:Gyr_Mag__perm_entropy__trial_std,0.0009449606186678442,entropy
Linsole:Gyr_Z__max__trial_min,0.0009443271252549209,spatiotemporal
Rinsole:Acc_X__min__trial_min,0.0009430641451778676,spatiotemporal
Linsole:Gyr_Mag__perm_entropy__trial_mean,0.0009419566683249195,entropy
Rinsole:Acc_Mag__psd_highfreq__trial_std,0.0009408554941171579,frequency
Linsole:Gyr_Z__std__trial_mean,0.0009397577743074925,spatiotemporal
Linsole:Acc_Mag__min__trial_mean,0.0009395246269478213,spatiotemporal
Linsole:Acc_X__cv__trial_min,0.0009367432977515434,spatiotemporal
Linsole:Gyr_Z__cv__trial_std,0.000935817558771993,spatiotemporal
Rinsole:Gyr_Mag__perm_entropy__trial_min,0.0009290508035467794,entropy
Linsole:Acc_X__skewness__trial_mean,0.0009289642610145114,spatiotemporal
Linsole:Gyr_Z__max__trial_std,0.0009281986047027348,spatiotemporal
Rinsole:Gyr_X__rms__trial_std,0.0009208434863437043,spatiotemporal
Linsole:Acc_X__max__trial_mean,0.0009197579202803764,spatiotemporal
Rinsole:Acc_X__mean__trial_max,0.0009183202477201627,spatiotemporal
Linsole:Acc_Y__min__trial_max,0.0009167346764311992,spatiotemporal
Rinsole:Gyr_Y__total_power__trial_min,0.0009124447165016997,frequency
Rinsole:Gyr_X__perm_entropy__trial_mean,0.0009114459405768143,entropy
Linsole:Gyr_Z__zcr__trial_mean,0.0009111232234485026,spatiotemporal
Linsole:Gyr_Z__mean__trial_std,0.0009087034776454916,spatiotemporal
Rinsole:Acc_Mag__perm_entropy__trial_max,0.0009080170634333567,entropy
Linsole:Gyr_X__kurtosis__trial_std,0.0009053230226779463,spatiotemporal
Rinsole:Acc_Mag__min__trial_min,0.0009050288060253791,spatiotemporal
Rinsole:Gyr_X__max__trial_mean,0.0009048073552144587,spatiotemporal
Linsole:Acc_X__spectral_centroid__trial_max,0.0009020884851887243,frequency
Linsole:Gyr_X__mean__trial_mean,0.0008972394131588152,spatiotemporal
Rinsole:Gyr_Mag__perm_entropy__trial_mean,0.0008941317889976674,entropy
Linsole:Acc_Y__total_power__trial_min,0.0008935478050248815,frequency
Rinsole:Gyr_Y__cv__trial_max,0.0008916138353222086,spatiotemporal
Linsole:Acc_X__psd_highfreq__trial_max,0.0008915444345374711,frequency
Rinsole:Acc_Z__psd_highfreq__trial_min,0.000889554604541383,frequency
Linsole:Acc_X__mcr__trial_mean,0.0008886301220696137,spatiotemporal
Rinsole:Gyr_X__kurtosis__trial_mean,0.0008866855098427717,spatiotemporal
Linsole:Gyr_Z__spectral_entropy__trial_median,0.0008861803375612945,frequency
Linsole:Acc_Z__skewness__trial_median,0.0008827056876925179,spatiotemporal
Linsole:Gyr_Z__std__trial_max,0.000882526241362274,spatiotemporal
Rinsole:Acc_Mag__range__trial_min,0.0008800242886029417,spatiotemporal
Rinsole:Acc_X__spectral_entropy__trial_max,0.0008787966488136256,frequency
Linsole:Gyr_X__mcr__trial_max,0.000878524421527917,spatiotemporal
Linsole:Gyr_Y__perm_entropy__trial_max,0.0008773894922598055,entropy
Rinsole:Gyr_Y__skewness__trial_median,0.000877303574545438,spatiotemporal
Rinsole:Gyr_Mag__mcr__trial_mean,0.0008763617155491994,spatiotemporal
Linsole:Gyr_Mag__spectral_entropy__trial_median,0.0008749289060192255,frequency
Rinsole:Gyr_Z__range__trial_max,0.0008740174845192423,spatiotemporal
Rinsole:Gyr_Z__psd_harmonic__trial_max,0.0008720943941874482,frequency
